id_emp,latitude,longitude,type
2718399,-20.4237,-49.9781,FINAL
2718556,-23.3965,-46.32,FINAL
2718603,-23.5329,-46.6395,FINAL
2718695,-20.8113,-49.3758,PTO_IBAMA
2718719,-23.4538,-46.5333,PTO_IBAMA
2718773,-23.4538,-46.5333,FINAL
2718893,-23.5329,-46.6395,FINAL
2719109,-23.3965,-46.32,FINAL
2720071,-23.1852,-46.8974,FINAL
2720302,-20.9491,-48.4791,FINAL
2720371,-23.5329,-46.6395,FINAL
2720374,-22.2171,-49.9501,FINAL
2720639,-23.3171,-46.5897,FINAL
2720872,-23.2983,-45.9658,FINAL
2720975,-24.312,-47.0012,FINAL
2720981,-23.5329,-46.6395,FINAL
2721262,-23.4538,-46.5333,FINAL
2721544,-21.921,-50.7357,FINAL
2721564,-23.5226,-47.1357,FINAL
2722184,-23.6737,-46.5432,FINAL
2722452,-23.5057,-46.879,FINAL
2722459,-23.5329,-46.6395,FINAL
2722678,-23.5446,-47.4388,FINAL
2722791,-23.5329,-46.6395,FINAL
2722810,-23.5329,-46.6395,FINAL
2723102,-23.5329,-46.6395,FINAL
2723318,-23.5329,-46.6395,FINAL
2723337,-23.5448,-46.3112,FINAL
2723804,-23.5329,-46.6395,FINAL
2723889,-22.4694,-48.9863,FINAL
2724066,-21.2655,-48.4971,PTO_IBAMA
2724092,-23.5057,-46.879,FINAL
2724560,-23.4439,-46.9178,FINAL
2724598,-20.8929,-47.5921,FINAL
2724873,-20.5352,-47.4039,FINAL
2725116,-23.5448,-46.3112,PTO_IBAMA
2725119,-24.6963,-48.0064,FINAL
2725224,-23.5329,-46.6395,FINAL
2725408,-23.5329,-46.6395,FINAL
2725637,-23.1852,-46.8974,FINAL
2725721,-23.4439,-46.9178,FINAL
2725786,-23.5329,-46.6395,FINAL
2725820,-23.5329,-46.6395,FINAL
2725945,-23.5329,-46.6395,FINAL
2725984,-23.5329,-46.6395,FINAL
2726507,-22.2171,-49.9501,FINAL
2726526,-23.9888,-46.258,FINAL
2726761,-22.9527,-46.5419,FINAL
2726957,-23.4538,-46.5333,FINAL
2727036,-23.6677,-46.4613,FINAL
2727074,-23.5208,-46.1854,FINAL
2727133,-23.4835,-46.3457,PTO_IBAMA
2727137,-23.1101,-47.7164,FINAL
2727686,-23.5329,-46.6395,FINAL
2727809,-23.6229,-46.5548,FINAL
2728059,-20.5531,-48.5698,FINAL
2728118,-23.5057,-46.879,FINAL
2728204,-21.0661,-50.1475,FINAL
2728857,-23.9535,-46.335,FINAL
2729109,-21.4049,-48.5103,FINAL
2729436,-23.6914,-46.5646,FINAL
2730230,-23.5208,-46.1854,FINAL
2730432,-23.1896,-45.8841,FINAL
2730978,-23.6022,-46.919,FINAL
2731043,-22.6817,-46.681,FINAL
2731288,-22.2171,-49.9501,FINAL
2731460,-23.5329,-46.6395,FINAL
2731695,-23.5329,-46.6395,PTO_IBAMA
2731698,-23.4969,-47.4451,FINAL
